Structure,,,,,,,,Case 1,,,,,,,Difference,,,,,
element,type,node_i,node_j,length,axial_force,,,element,type,node_i,node_j,length,axial_force,,element,type,node_i,node_j,length,axial_force
107,3d_truss,2,25,30.26962174,-94.1872287,,,107,3d_truss,2,25,30.26962174,-26.74162006,,107,3d_truss,2,25,30.26962174,-67.44560864
108,3d_truss,24,3,30.26962174,78.57964587,,,108,3d_truss,24,3,30.26962174,146.0252545,,108,3d_truss,24,3,30.26962174,-67.44560864
109,3d_truss,3,26,30.26962174,-80.07462622,,,109,3d_truss,3,26,30.26962174,-12.72538692,,109,3d_truss,3,26,30.26962174,-67.3492393
110,3d_truss,25,4,30.26962174,42.02029489,,,110,3d_truss,25,4,30.26962174,109.3695342,,110,3d_truss,25,4,30.26962174,-67.3492393
111,3d_truss,4,27,30.26962174,-61.198985,,,111,3d_truss,4,27,30.26962174,6.150566279,,111,3d_truss,4,27,30.26962174,-67.34955128
112,3d_truss,26,5,30.26962174,23.63756092,,,112,3d_truss,26,5,30.26962174,90.98711221,,112,3d_truss,26,5,30.26962174,-67.34955128
113,3d_truss,5,28,30.26962174,-50.68566015,,,113,3d_truss,5,28,30.26962174,16.6636042,,113,3d_truss,5,28,30.26962174,-67.34926434
114,3d_truss,27,6,30.26962174,5.649007887,,,114,3d_truss,27,6,30.26962174,72.99827223,,114,3d_truss,27,6,30.26962174,-67.34926434
115,3d_truss,6,29,30.26962174,-38.89861556,,,115,3d_truss,6,29,30.26962174,28.45064879,,115,3d_truss,6,29,30.26962174,-67.34926434
116,3d_truss,28,7,30.26962174,-6.138036704,,,116,3d_truss,28,7,30.26962174,61.21122764,,116,3d_truss,28,7,30.26962174,-67.34926434
117,3d_truss,7,30,30.26962174,-22.81948278,,,117,3d_truss,7,30,30.26962174,44.53006851,,117,3d_truss,7,30,30.26962174,-67.34955128
118,3d_truss,29,8,30.26962174,-14.7419413,,,118,3d_truss,29,8,30.26962174,52.60760998,,118,3d_truss,29,8,30.26962174,-67.34955128
119,3d_truss,8,31,30.26962174,-8.440903903,,,119,3d_truss,8,31,30.26962174,58.9083354,,119,3d_truss,8,31,30.26962174,-67.3492393
120,3d_truss,30,9,30.26962174,-29.61342744,,,120,3d_truss,30,9,30.26962174,37.73581186,,120,3d_truss,30,9,30.26962174,-67.3492393
121,3d_truss,9,32,30.26962174,24.09431027,,,121,3d_truss,9,32,30.26962174,91.53991891,,121,3d_truss,9,32,30.26962174,-67.44560864
122,3d_truss,31,10,30.26962174,-39.7018931,,,122,3d_truss,31,10,30.26962174,27.74371554,,122,3d_truss,31,10,30.26962174,-67.44560864
123,3d_truss,10,33,30.26962174,48.72404601,,,123,3d_truss,10,33,30.26962174,111.7436405,,123,3d_truss,10,33,30.26962174,-63.0195945
124,3d_truss,32,11,30.26962174,-65.22375923,,,124,3d_truss,32,11,30.26962174,-2.204164735,,124,3d_truss,32,11,30.26962174,-63.0195945
127,3d_truss,13,36,30.26962174,-0.221577781,,,127,3d_truss,13,36,30.26962174,57.54614802,,127,3d_truss,13,36,30.26962174,-57.7677258
128,3d_truss,35,14,30.26962174,34.18603498,,,128,3d_truss,35,14,30.26962174,91.95376078,,128,3d_truss,35,14,30.26962174,-57.7677258
129,3d_truss,14,37,30.26962174,-4.522821093,,,129,3d_truss,14,37,30.26962174,52.09165098,,129,3d_truss,14,37,30.26962174,-56.61447208
130,3d_truss,36,15,30.26962174,37.53299523,,,130,3d_truss,36,15,30.26962174,94.14746731,,130,3d_truss,36,15,30.26962174,-56.61447208
131,3d_truss,15,38,30.26962174,6.389275023,,,131,3d_truss,15,38,30.26962174,63.02291217,,131,3d_truss,15,38,30.26962174,-56.63363714
132,3d_truss,37,16,30.26962174,44.07184274,,,132,3d_truss,37,16,30.26962174,100.7054799,,132,3d_truss,37,16,30.26962174,-56.63363714
133,3d_truss,16,39,30.26962174,12.92995977,,,133,3d_truss,16,39,30.26962174,69.56318469,,133,3d_truss,16,39,30.26962174,-56.63322493
134,3d_truss,38,17,30.26962174,37.20790027,,,134,3d_truss,38,17,30.26962174,93.8411252,,134,3d_truss,38,17,30.26962174,-56.63322493
135,3d_truss,17,40,30.26962174,22.06374752,,,135,3d_truss,17,40,30.26962174,78.69697245,,135,3d_truss,17,40,30.26962174,-56.63322493
136,3d_truss,39,18,30.26962174,28.07411252,,,136,3d_truss,39,18,30.26962174,84.70733744,,136,3d_truss,39,18,30.26962174,-56.63322493
137,3d_truss,18,41,30.26962174,30.8450034,,,137,3d_truss,18,41,30.26962174,87.47864054,,137,3d_truss,18,41,30.26962174,-56.63363714
138,3d_truss,40,19,30.26962174,19.61611437,,,138,3d_truss,40,19,30.26962174,76.24975151,,138,3d_truss,40,19,30.26962174,-56.63363714
139,3d_truss,19,42,30.26962174,28.25710163,,,139,3d_truss,19,42,30.26962174,84.87157371,,139,3d_truss,19,42,30.26962174,-56.61447208
140,3d_truss,41,20,30.26962174,4.7530725,,,140,3d_truss,41,20,30.26962174,61.36754458,,140,3d_truss,41,20,30.26962174,-56.61447208
141,3d_truss,20,43,30.26962174,29.38093627,,,141,3d_truss,20,43,30.26962174,87.14866207,,141,3d_truss,20,43,30.26962174,-57.7677258
142,3d_truss,42,21,30.26962174,4.58352093,,,142,3d_truss,42,21,30.26962174,62.35124673,,142,3d_truss,42,21,30.26962174,-57.7677258
