Structure,,,,,,,,Case 1,,,,,,,Difference,,,,,
element,type,node_i,node_j,length,axial_force,,,element,type,node_i,node_j,length,axial_force,,element,type,node_i,node_j,length,axial_force
127,3d_truss,13,36,30.26962174,-15.40990312,,,127,3d_truss,13,36,30.26962174,41.20681405,,127,3d_truss,13,36,30.26962174,56.61671717
128,3d_truss,35,14,30.26962174,-15.40990312,,,128,3d_truss,35,14,30.26962174,41.20681405,,128,3d_truss,35,14,30.26962174,56.61671717
129,3d_truss,14,37,30.26962174,-14.96849009,,,129,3d_truss,14,37,30.26962174,41.6705231,,129,3d_truss,14,37,30.26962174,56.63901319
130,3d_truss,36,15,30.26962174,-14.96849009,,,130,3d_truss,36,15,30.26962174,41.6705231,,130,3d_truss,36,15,30.26962174,56.63901319
131,3d_truss,15,38,30.26962174,-22.8998407,,,131,3d_truss,15,38,30.26962174,33.73899601,,131,3d_truss,15,38,30.26962174,56.63883671
132,3d_truss,37,16,30.26962174,-22.8998407,,,132,3d_truss,37,16,30.26962174,33.73899601,,132,3d_truss,37,16,30.26962174,56.63883671
133,3d_truss,16,39,30.26962174,-22.75288365,,,133,3d_truss,16,39,30.26962174,33.8859275,,133,3d_truss,16,39,30.26962174,56.63881114
134,3d_truss,38,17,30.26962174,-22.75288365,,,134,3d_truss,38,17,30.26962174,33.8859275,,134,3d_truss,38,17,30.26962174,56.63881114
135,3d_truss,17,40,30.26962174,-22.75288365,,,135,3d_truss,17,40,30.26962174,33.8859275,,135,3d_truss,17,40,30.26962174,56.63881114
136,3d_truss,39,18,30.26962174,-22.75288365,,,136,3d_truss,39,18,30.26962174,33.8859275,,136,3d_truss,39,18,30.26962174,56.63881114
137,3d_truss,18,41,30.26962174,-22.8998407,,,137,3d_truss,18,41,30.26962174,33.73899601,,137,3d_truss,18,41,30.26962174,56.63883671
138,3d_truss,40,19,30.26962174,-22.8998407,,,138,3d_truss,40,19,30.26962174,33.73899601,,138,3d_truss,40,19,30.26962174,56.63883671
139,3d_truss,19,42,30.26962174,-14.96849009,,,139,3d_truss,19,42,30.26962174,41.6705231,,139,3d_truss,19,42,30.26962174,56.63901319
140,3d_truss,41,20,30.26962174,-14.96849009,,,140,3d_truss,41,20,30.26962174,41.6705231,,140,3d_truss,41,20,30.26962174,56.63901319
141,3d_truss,20,43,30.26962174,-15.40990312,,,141,3d_truss,20,43,30.26962174,41.20681405,,141,3d_truss,20,43,30.26962174,56.61671717
142,3d_truss,42,21,30.26962174,-15.40990312,,,142,3d_truss,42,21,30.26962174,41.20681405,,142,3d_truss,42,21,30.26962174,56.61671717
143,3d_truss,21,44,30.26962174,0.344468796,,,143,3d_truss,21,44,30.26962174,58.11289913,,143,3d_truss,21,44,30.26962174,57.76843034
144,3d_truss,43,22,30.26962174,0.344468796,,,144,3d_truss,43,22,30.26962174,58.11289913,,144,3d_truss,43,22,30.26962174,57.76843034
